Index;Land ;Land_EN;Einwohner;Gesamtfläche;Bevölkerungsdichte*;Landfläche;Bevölkerungsdichte*
209;Simbabwe;Zimbabwe;14.546.314 ;390.757 km²;37;386.847 km²;38
210;Singapur;Singapore;6.209.660 ;697 km²;8909;687 km²;9039
211;Sint Maarten;Sint Maarten;43.847 ;34 km²;1290;34 km²;1290
212;Slowakei;Slovakia (Slovak Republic);5.440.602 ;49.035 km²;111;48.105 km²;113
213;Slowenien;Slovenia;2.102.678 ;20.273 km²;104;20.151 km²;104
214;Somalia;Somalia;11.757.124 ;637.657 km²;18;627.337 km²;19
215;Spanien;Spain;50.015.792 ;505.370 km²;99;498.980 km²;100
216;Spitzbergen;Svalbard;2.926 ;62.045 km²;0;62.045 km²;0
217;Sri Lanka;Sri Lanka;22.889.201 ;65.610 km²;349;64.740 km²;354
218;St. Barthélemy;St. Barthélemy;7.122 ;21 km²;339;21 km²;339
220;St. Helena, Ascension und Tristan da Cunha;St. Helena, Ascension und Tristan da Cunha;7.862 ;308 km²;26;;
221;St. Kitts und Nevis;Saint Kitts and Nevis;53.821 ;261 km²;206;261 km²;206
222;St. Lucia;Saint Lucia;166.487 ;616 km²;270;606 km²;275
223;St. Martin;St. Martin;32.556 ;54 km²;603;54 km²;598
224;St. Pierre und Miquelon;St. Pierre and Miquelon;5.347 ;242 km²;22;242 km²;22
225;St. Vincent und die Grenadinen;Saint Vincent and the Grenadines;101.390 ;389 km²;261;389 km²;261
226;Südafrika;South Africa;56.463.617 ;1.219.090 km²;46;1.214.470 km²;46
227;Sudan;Sudan;45.561.556 ;1.861.484 km²;24;1.861.484 km²;24
229;Südsudan;South Sudan;10.561.244 ;644.329 km²;16;644.329 km²;16
230;Suriname;Suriname;609.569 ;163.820 km²;4;156.000 km²;4
233;Syrien;Syria, Syrian Arab Republic;19.398.448 ;185.180 km²;105;183.630 km²;106
234;Tadschikistan;Tajikistan;8.873.669 ;143.100 km²;62;142.700 km²;62
235;Taiwan;Taiwan, Republic of China;23.603.049 ;35.980 km²;656;32.260 km²;732
236;Tansania;Tanzania;58.552.845 ;947.300 km²;62;885.800 km²;66
238;Thailand;Thailand;68.977.400 ;513.120 km²;134;510.890 km²;135
240;Timor-Leste;East Timor Timor-Leste;1.383.723 ;14.874 km²;93;14.874 km²;93
242;Togo;Togo;8.608.444 ;56.785 km²;152;54.385 km²;158
243;Tokelau;Tokelau;1.647 ;12 km²;137;12 km²;137
244;Tonga;Tonga;106.095 ;747 km²;142;717 km²;148
245;Trinidad und Tobago;Trinidad and Tobago;1.208.789 ;5.128 km²;236;5.128 km²;236
246;Tschad;Chad;16.877.357 ;1.284.000 km²;13;1.259.200 km²;13
247;Tschechische Republik;Czech Republic;10.702.498 ;78.867 km²;136;77.247 km²;139
248;Tunesien;Tunisia;11.721.177 ;163.610 km²;72;155.360 km²;75
249;Türkei;Turkey;82.017.514 ;783.562 km²;105;769.632 km²;107
250;Turkmenistan;Turkmenistan;5.528.627 ;488.100 km²;11;488.100 km²;11
251;Turks- und Caicosinseln;Turks and Caicos Islands;55.926 ;948 km²;59;948 km²;59
252;Tuvalu;Tuvalu;11.342 ;26 km²;436;26 km²;436
253;Uganda;Uganda;43.252.966 ;241.038 km²;179;197.100 km²;219
254;Ukraine;Ukraine;43.922.939 ;603.550 km²;73;579.330 km²;76
255;Ungarn;Hungary;9.771.827 ;93.028 km²;105;89.608 km²;109
256;Uruguay;Uruguay;3.387.605 ;176.215 km²;19;173.615 km²;20
257;Usbekistan;Uzbekistan;30.565.411 ;447.400 km²;68;425.400 km²;72
258;Vanuatu;Vanuatu;298.333 ;12.189 km²;24;12.189 km²;24
259;Vatikanstadt;Holy See;1.000 ;km²;2273;km²;2273
260;Venezuela;Venezuela;28.644.603 ;912.050 km²;31;882.050 km²;32
261;Vereinigte Arabische Emirate;United Arab Emirates;9.992.083 ;83.600 km²;120;83.600 km²;120
262;Vereinigte Staaten;United States;332.639.102 ;9.826.675 km²;34;9.161.966 km²;36
264;Vietnam;Vietnam;98.721.275 ;331.210 km²;298;310.070 km²;318
265;Wallis und Futuna;Wallis and Futuna Islands;15.854 ;142 km²;112;142 km²;112
266;Weihnachtsinsel;Christmas Island;2.205 ;135 km²;16;135 km²;16
268;Westsahara;Western Sahara;652.271 ;266.000 km²;2;266.000 km²;2
269;Zentralafrikanische Republik;Central African Republic;5.990.855 ;622.984 km²;10;622.984 km²;10
270;Zypern;Cyprus;1.266.676 ;9.251 km²;137;9.241 km²;137
